strategy,rebalance_date,train_start,train_end,feature,rule,direction,q25,q75,train_sharpe,train_expectancy,train_obs
bear_put_spread,2019-04-08,2016-09-06,2019-04-05,month,q75_momentum,1,3.0,10.0,2.5240138884627106,0.036067577572691724,297
bear_put_spread,2019-09-04,2017-01-11,2019-09-03,month,q75_momentum,1,3.0,9.0,2.7445424787037114,0.03590184151038588,250
bear_put_spread,2020-02-28,2017-08-21,2020-02-26,overnight_gap,q25_reversion,1,-0.0014865475491854605,0.00274503135971421,2.4923662896196723,0.036700922735161005,230
bear_put_spread,2020-06-12,2018-02-14,2020-06-10,month,q75_momentum,1,3.0,9.0,1.8274710049791467,0.0246453068883773,277
bear_put_spread,2020-10-12,2018-07-25,2020-10-09,price_vs_ma20,q75_momentum,-1,-0.011948180569072098,0.01979053387475438,2.685539406236465,0.026818596619015832,237
bear_put_spread,2021-03-05,2018-12-03,2021-03-03,price_vs_ma20,q75_momentum,-1,-0.010854731383509009,0.022044055023506592,1.6445110563414536,0.018609149615055717,241
bear_put_spread,2021-08-06,2019-04-08,2021-08-02,price_vs_ma20,q75_momentum,-1,-0.008325286458863435,0.021310857639517566,2.207329447427124,0.024607777806752107,238
bear_put_spread,2021-12-15,2019-09-04,2021-12-13,reversion_z20,q75_momentum,-1,-0.3098321556934524,1.467008003338721,1.8303706885090791,0.01724491083264946,237
bear_put_spread,2022-04-08,2020-02-28,2022-04-06,reversion_z20,q75_momentum,-1,-0.679511849708617,1.3277901084716226,1.8431589065814917,0.01925506394253234,243
bear_put_spread,2022-06-28,2020-06-12,2022-06-27,slope_dn,q75_momentum,-1,3.50579810224437,6.757893207119481,1.8947493860431792,0.018349183484918583,243
bear_put_spread,2022-09-21,2020-10-12,2022-09-20,slope_dn,q75_momentum,-1,2.6728075168807743,6.560522789882669,1.9313914799493637,0.01930954629495157,245
bear_put_spread,2022-11-28,2021-03-05,2022-11-23,overnight_gap,q25_reversion,1,-0.0035457680064394604,0.002673831923056717,2.628012484561487,0.04200601891421548,244
bear_put_spread,2023-03-17,2021-08-06,2023-03-16,overnight_gap,q25_reversion,1,-0.0040520240803407145,0.0028725798148514685,1.7418469437123174,0.0278612008144629,251
bear_put_spread,2023-06-27,2021-12-15,2023-06-23,slope_dn,q75_momentum,-1,1.3863803335093086,4.288006517336959,1.9017971613847144,0.027586037681303223,251
bear_put_spread,2023-09-18,2022-04-08,2023-09-15,slope_dn,q75_momentum,-1,1.5485653481993882,4.207230523924811,2.0686665838052276,0.02595933795331306,249
bear_put_spread,2023-12-05,2022-06-28,2023-12-04,slope_dn,q75_momentum,-1,1.9232954063115493,4.290720759266398,1.8264294770804181,0.02228434073338048,249
bear_put_spread,2024-03-13,2022-09-21,2024-03-12,vix,q25_reversion,-1,2.7111695719217474e-05,9.297045060332122e-05,2.36435416744072,0.020684166549245733,246
bull_call_spread,2019-04-05,2016-09-06,2019-04-03,month,q75_momentum,-1,3.0,10.0,2.8636722882617534,0.03830912786480021,410
bull_call_spread,2019-09-03,2017-01-11,2019-08-30,month,q75_momentum,-1,3.0,9.0,3.0651795722441597,0.03692773945746719,350
bull_call_spread,2020-02-26,2017-08-21,2020-02-24,month,q75_momentum,-1,3.0,10.0,2.7700954857019853,0.03488914327656214,375
bull_call_spread,2020-06-10,2018-02-12,2020-06-08,month,q75_momentum,-1,3.0,9.0,2.5046049953332927,0.03235050635814965,380
bull_call_spread,2020-10-09,2018-07-23,2020-10-07,month,q75_momentum,-1,4.0,9.0,2.2280844492645593,0.033298517461607335,460
bull_call_spread,2021-03-03,2018-11-30,2021-02-26,SPX_lrv,q25_reversion,-1,1.6218007232491203,10.823708309898105,1.9524055532035955,0.015507792700587527,315
bull_call_spread,2021-08-02,2019-04-05,2021-07-28,SPX_lrv,q25_reversion,-1,1.5088031579966144,8.31507054730854,1.6213147751023844,0.01263069540012288,315
bull_call_spread,2021-12-13,2019-09-03,2021-12-10,SPX_lret,q25_reversion,1,-0.004155153623186783,0.003735596946977294,1.6998519473312999,0.02648104718606947,315
bull_call_spread,2022-04-06,2020-02-26,2022-04-01,SPX_lret,q25_reversion,1,-0.0054195817622216935,0.004078369932491787,1.3645633617419322,0.02254486887018321,315
bull_call_spread,2022-06-27,2020-06-10,2022-06-24,slope_up,q75_momentum,-1,-2.951707862965903,0.7410256080804144,1.7259094178053527,0.01857011862711457,315
bull_call_spread,2022-09-20,2020-10-09,2022-09-19,overnight_gap,q25_reversion,-1,-0.002725082866574392,0.0025763032513630704,1.4843055484305865,0.02258454205705734,315
bull_call_spread,2022-11-23,2021-03-03,2022-11-21,overnight_gap,q25_reversion,-1,-0.0034729259279792286,0.0025763032513630704,2.5498559724893304,0.038716636928581696,315
bull_call_spread,2023-03-16,2021-08-02,2023-03-15,overnight_gap,q25_reversion,-1,-0.0038993906185428944,0.002712418745867754,2.0130519033104117,0.03175849572177554,315
bull_call_spread,2023-06-23,2021-12-13,2023-06-21,slope_up,q75_momentum,-1,-2.586585361432662,0.27999507341249885,2.3480464894794446,0.030418201455937294,315
bull_call_spread,2023-09-15,2022-04-06,2023-09-14,slope_dn,q25_reversion,-1,1.5451394921812307,4.205052044616675,2.3173006595646086,0.035479405949907804,315
bull_call_spread,2023-12-04,2022-06-27,2023-12-01,SPX_lrv,q25_reversion,-1,2.4496898497956643,7.952843771811651,1.7060315172665272,0.01652432828545427,315
bull_call_spread,2024-03-12,2022-09-20,2024-03-11,slope_dn,q75_momentum,1,2.122020342542738,4.551891955494137,1.6902434672628237,0.020541487334107766,315
call_ratio_spread,2019-04-05,2016-09-06,2019-04-03,month,q75_momentum,-1,3.0,10.0,2.8584160536667245,0.0443196805625796,410
call_ratio_spread,2019-09-03,2017-01-11,2019-08-30,month,q75_momentum,-1,3.0,9.0,2.831424963783177,0.04126742070893107,350
call_ratio_spread,2020-02-26,2017-08-21,2020-02-24,overnight_gap,q25_reversion,-1,-0.0013357145325858305,0.0027434967230079927,2.6514300950281453,0.042021217265715845,319
call_ratio_spread,2020-06-10,2018-02-12,2020-06-08,month,q75_momentum,-1,3.0,9.0,2.3694856465728997,0.03607747407893223,380
call_ratio_spread,2020-10-09,2018-07-23,2020-10-07,month,q75_momentum,-1,4.0,9.0,2.1017552091876635,0.035051635226588954,460
call_ratio_spread,2021-03-03,2018-11-30,2021-02-26,atr14,q25_reversion,-1,0.009474571123309218,0.019801400019603274,1.8681456935280942,0.017144858475459983,315
call_ratio_spread,2021-08-02,2019-04-05,2021-07-28,overnight_gap,q75_momentum,1,-0.002001385191491649,0.003505778883292862,1.649569216564041,0.024244198798890393,315
call_ratio_spread,2021-12-13,2019-09-03,2021-12-10,overnight_gap,q75_momentum,1,-0.0018002500094076916,0.0032527199909490197,1.6776802927718157,0.024763333937331378,315
call_ratio_spread,2022-04-06,2020-02-26,2022-04-01,reversion_z20,q75_momentum,1,-0.6559915863972328,1.3512321889576906,1.7674906528586924,0.01793317989866147,315
call_ratio_spread,2022-06-27,2020-06-10,2022-06-24,slope_dn,q25_reversion,-1,3.652733426493665,6.82886678231625,1.9423839892213415,0.030460600479126312,315
call_ratio_spread,2022-09-20,2020-10-09,2022-09-19,slope_dn,q75_momentum,1,2.7312703958201685,6.589052013904185,1.6687428384281755,0.015893288178356127,315
call_ratio_spread,2022-11-23,2021-03-03,2022-11-21,isk,q75_momentum,-1,-1.909951609141551e-05,-3.5228365980268954e-06,1.5000883300322092,0.01757534349026745,310
call_ratio_spread,2023-03-16,2021-08-02,2023-03-15,reversion_z20,q25_reversion,-1,-1.2897753953469435,1.1144538434688445,1.8522726272636012,0.03362685444387773,315
call_ratio_spread,2023-06-23,2021-12-13,2023-06-21,isk,q75_momentum,-1,-1.830277108941724e-05,-2.8207261626445114e-06,1.4865726416344998,0.02087005913275119,315
call_ratio_spread,2023-09-15,2022-04-06,2023-09-14,slope_dn,q75_momentum,1,1.5451394921812307,4.205052044616675,1.4078067825029226,0.0180057357723259,315
call_ratio_spread,2023-12-04,2022-06-27,2023-12-01,SPX_lrv,q25_reversion,-1,2.4496898497956643,7.952843771811651,1.3874850401211092,0.013123365199526022,315
call_ratio_spread,2024-03-12,2022-09-20,2024-03-11,overnight_gap,q75_momentum,1,-0.0023720567527981055,0.002694082401205944,1.5825622861672424,0.01776576876239373,315
iron_condor,2019-04-05,2016-09-06,2019-04-03,SPX_lrv_skew,q75_momentum,-1,-0.14900591387194723,0.10631760532089153,2.4702374294828364,0.01612025625922674,252
iron_condor,2019-09-03,2017-01-11,2019-08-30,SPX_lrv,q75_momentum,-1,0.8877520121672009,4.069673862660718,2.816044474065569,0.01958695564068967,252
iron_condor,2020-02-26,2017-08-21,2020-02-24,SPX_lrv,q75_momentum,-1,1.0240172330245014,4.941145281731903,2.628235743133118,0.01818021832677708,252
iron_condor,2020-06-10,2018-02-12,2020-06-08,overnight_gap,q25_reversion,-1,-0.0019232952124668072,0.003718410184145775,3.279877389920015,0.021511732546453877,252
iron_condor,2020-10-09,2018-07-23,2020-10-07,overnight_gap,q25_reversion,-1,-0.002510050408048318,0.003974113573777849,2.138763272744671,0.014368582252796523,252
iron_condor,2021-03-03,2018-11-30,2021-02-26,isk,q75_momentum,1,-2.08895700739658e-05,-4.747820100131278e-06,2.162808716777327,0.011034153084869621,252
iron_condor,2021-08-02,2019-04-05,2021-07-28,isk,q75_momentum,1,-2.0359188921035787e-05,-4.4218687385236915e-06,2.123172326312342,0.010645103745160908,248
iron_condor,2021-12-13,2019-09-03,2021-12-10,overnight_gap,q25_reversion,-1,-0.0018004233281400293,0.003215004209658444,2.3350689824930493,0.015855522397993746,252
iron_condor,2022-04-06,2020-02-26,2022-04-01,overnight_gap,q25_reversion,-1,-0.002460104046658581,0.00315377465064985,3.0781050235458567,0.02110228551360689,252
iron_condor,2022-06-27,2020-06-10,2022-06-24,overnight_gap,q25_reversion,-1,-0.002725082866574392,0.002712418745867754,2.281239000541256,0.014728065872828572,252
iron_condor,2022-09-20,2020-10-09,2022-09-19,is_month_end,q75_momentum,-1,0.0,0.0,2.7517045295805054,0.035361224692389885,1008
iron_condor,2022-11-23,2021-03-03,2022-11-21,vix,q25_reversion,-1,4.4404889651827485e-05,0.00015779714521896955,2.3507389681217776,0.014024289993952556,248
iron_condor,2023-03-16,2021-08-02,2023-03-15,vix,q25_reversion,-1,6.217234601099542e-05,0.00016037993378025537,2.2561149801843827,0.015598573383074247,248
iron_condor,2023-06-23,2021-12-13,2023-06-21,weekday,q75_momentum,-1,1.0,3.0,2.3700300728039183,0.018705530063568655,372
iron_condor,2023-09-15,2022-04-06,2023-09-14,weekday,q75_momentum,-1,1.0,3.0,2.237070227198345,0.017313685661867827,388
iron_condor,2023-12-04,2022-06-27,2023-12-01,weekday,q75_momentum,-1,1.0,3.0,2.988525276895482,0.023641601924031107,388
iron_condor,2024-03-12,2022-09-20,2024-03-11,weekday,q75_momentum,-1,1.0,3.0,2.066155988654163,0.016402680458538172,384
put_ratio_spread,2019-04-08,2016-09-06,2019-04-05,atr14,q25_reversion,-1,0.00622101463418694,0.013755440930830672,1.2953293255838734,0.00900611962117491,226
put_ratio_spread,2019-09-04,2017-01-11,2019-09-03,vix,q25_reversion,-1,1.4377085429237934e-05,7.241594684959166e-05,1.3805459223203418,0.009095716079523794,223
put_ratio_spread,2020-02-28,2017-08-21,2020-02-26,weekday,q25_reversion,1,0.0,4.0,1.8262792871903564,0.0204111213815176,260
put_ratio_spread,2020-06-12,2018-02-14,2020-06-10,weekday,q25_reversion,1,0.0,4.0,2.1276704809393636,0.02735696242137137,262
put_ratio_spread,2020-10-12,2018-07-25,2020-10-09,vix,q75_momentum,1,2.515317842885434e-05,0.00011982090106729425,3.0009907653860215,0.0594481616532044,235
put_ratio_spread,2021-03-05,2018-12-03,2021-03-03,isk,q25_reversion,1,-2.1849605247009944e-05,-5.192259755168535e-06,3.199064443160503,0.05814773094147337,235
put_ratio_spread,2021-08-06,2019-04-08,2021-08-02,vix,q75_momentum,1,2.694687134259321e-05,0.0001221161054076597,3.6247841327325574,0.07105791800696501,235
put_ratio_spread,2021-12-15,2019-09-04,2021-12-13,vix,q75_momentum,1,2.694687134259321e-05,0.00011982090106729425,3.6253677027775706,0.0711051843093118,235
put_ratio_spread,2022-04-08,2020-02-28,2022-04-06,vix,q75_momentum,1,3.741459883028184e-05,0.00014463170601386447,3.3936784016508934,0.06570432587565017,235
put_ratio_spread,2022-06-28,2020-06-12,2022-06-27,SPX_lret,q75_momentum,-1,-0.0056437628845644365,0.004012338678099027,1.6651925308161686,0.0228630205412708,244
put_ratio_spread,2022-09-21,2020-10-12,2022-09-20,mom_5d,q75_momentum,-1,-0.01704427231648073,0.01570110653957224,1.7192047531303052,0.02084646170448165,244
put_ratio_spread,2022-11-28,2021-03-05,2022-11-23,SPX_lret,q75_momentum,-1,-0.007065721069290096,0.004973221683978427,1.7432560800213777,0.027247455853305947,246
put_ratio_spread,2023-03-17,2021-08-06,2023-03-16,SPX_lret,q75_momentum,-1,-0.007645907252592932,0.006396836781257901,2.091779040805035,0.03298726104661359,251
put_ratio_spread,2023-06-27,2021-12-15,2023-06-23,overnight_gap,q25_reversion,1,-0.003848512797943621,0.003083316877008371,1.4492341926257108,0.021579610206971148,251
put_ratio_spread,2023-09-18,2022-04-08,2023-09-15,overnight_gap,q25_reversion,1,-0.003735222572668957,0.0031528510485302553,1.8265497553145382,0.026274678889408338,250
put_ratio_spread,2023-12-05,2022-06-28,2023-12-04,overnight_gap,q75_momentum,-1,-0.0030411236222363776,0.0027223209886633793,1.408329131980297,0.01877112309831151,250
put_ratio_spread,2024-03-13,2022-09-21,2024-03-12,vix,q25_reversion,-1,2.7111695719217474e-05,9.297045060332122e-05,2.3724234023374127,0.019410984621796756,246
risk_reversal,2019-04-05,2016-09-06,2019-04-03,weekday,q75_momentum,-1,0.0,4.0,1.4622629848640687,0.01949132677412329,154
risk_reversal,2019-09-03,2017-01-11,2019-08-30,slope_up,q75_momentum,-1,-1.7183505369232561,3.259101788557368,2.0966593282688466,0.0018977302489766427,126
risk_reversal,2020-02-26,2017-08-21,2020-02-24,slope_up,q75_momentum,-1,-2.010017175110828,2.7458704719111617,1.708489673029735,0.004163888811012059,126
risk_reversal,2020-06-10,2018-02-12,2020-06-08,price_vs_ma20,q75_momentum,1,-0.010098228573728218,0.018214102045834846,1.484578478077877,0.014676459213477785,126
risk_reversal,2020-10-09,2018-07-23,2020-10-07,SPX_lret,q25_reversion,1,-0.004082798464036981,0.0039016684816367106,1.8913847921779674,0.06259390456039271,126
risk_reversal,2021-03-03,2018-11-30,2021-02-26,SPX_lret,q25_reversion,1,-0.004082798464036981,0.004052096581644975,1.7306535247093005,0.05804637157319291,126
risk_reversal,2021-08-02,2019-04-05,2021-07-28,SPX_lret,q25_reversion,1,-0.0040316069232440065,0.0040432929703898965,1.9298313901473982,0.056708671786804034,126
risk_reversal,2021-12-13,2019-09-03,2021-12-10,SPX_lret,q25_reversion,1,-0.004142921069835158,0.0037074305806575987,1.9700391226394096,0.05829862093108876,126
risk_reversal,2022-04-06,2020-02-26,2022-04-01,SPX_lret,q25_reversion,1,-0.0054195817622216935,0.004078369932491787,2.034570074385594,0.06642864502456496,126
risk_reversal,2022-06-27,2020-06-10,2022-06-24,slope_up,q75_momentum,-1,-2.951707862965903,0.7410256080804144,2.6340981386050237,0.030128035586025663,126
risk_reversal,2022-09-20,2020-10-09,2022-09-19,slope_up,q75_momentum,-1,-2.590708535454933,0.7240877678160553,2.4661561223654487,0.028237190912835632,126
risk_reversal,2022-11-23,2021-03-03,2022-11-21,overnight_gap,q25_reversion,-1,-0.0034729259279792286,0.0025763032513630704,2.4102880767173236,0.04540606205193622,126
risk_reversal,2023-03-16,2021-08-02,2023-03-15,slope_up,q75_momentum,-1,-2.609910606613221,0.17640734241712247,2.4700894037064804,0.038392807723342644,126
risk_reversal,2023-06-23,2021-12-13,2023-06-21,slope_up,q75_momentum,-1,-2.586585361432662,0.27999507341249885,2.3592592108313317,0.03648669343929379,126
risk_reversal,2023-09-15,2022-04-06,2023-09-14,slope_dn,q75_momentum,1,1.5451394921812307,4.205052044616675,2.8945710730337644,0.02731210624752032,126
risk_reversal,2023-12-04,2022-06-27,2023-12-01,slope_dn,q75_momentum,1,1.9084774863597187,4.288685077819319,2.323115847018449,0.02025510676146677,126
risk_reversal,2024-03-12,2022-09-20,2024-03-11,slope_dn,q75_momentum,1,2.122020342542738,4.551891955494137,1.8450459415957245,0.01381925087969357,126
strangle,2019-04-05,2016-09-06,2019-04-03,overnight_gap,q25_reversion,1,-0.001139447455302878,0.002076805834311538,2.1457008358639422,0.041006855358098365,189
strangle,2019-09-03,2017-01-11,2019-08-30,slope_up,q75_momentum,-1,-1.7345401562874094,3.250313894274372,2.644208378661565,0.008129596758400684,191
strangle,2020-02-26,2017-08-21,2020-02-24,price_vs_ma20,q75_momentum,-1,-0.005809834215003917,0.017641078520626352,1.9888859736328166,0.0121265475832279,189
strangle,2020-06-10,2018-02-12,2020-06-08,overnight_gap,q75_momentum,-1,-0.0019232952124668072,0.003718410184145775,2.9399370046893423,0.06528930263589634,189
strangle,2020-10-09,2018-07-23,2020-10-07,overnight_gap,q75_momentum,-1,-0.002510050408048318,0.003974113573777849,3.081228234615754,0.07038042002395754,189
strangle,2021-03-03,2018-11-30,2021-02-26,overnight_gap,q75_momentum,-1,-0.0023210658843808023,0.0039910268571075646,3.2309407400048347,0.0735321127337354,189
strangle,2021-08-02,2019-04-05,2021-07-28,overnight_gap,q75_momentum,-1,-0.0020108255598893323,0.0034788078005255165,3.145368384363886,0.07098238773641936,189
strangle,2021-12-13,2019-09-03,2021-12-10,overnight_gap,q75_momentum,-1,-0.0018004233281400293,0.003215004209658444,3.1214645409683834,0.07089820613718009,189
strangle,2022-04-06,2020-02-26,2022-04-01,overnight_gap,q75_momentum,-1,-0.002460104046658581,0.00315377465064985,2.630541601984535,0.06334323347891374,189
strangle,2022-06-27,2020-06-10,2022-06-24,slope_dn,q75_momentum,-1,3.652733426493665,6.82886678231625,2.1882531513016557,0.017080778711512132,189
strangle,2022-09-20,2020-10-09,2022-09-19,slope_dn,q75_momentum,-1,2.7312703958201685,6.589052013904185,1.959426720832599,0.014767874085911181,189
strangle,2022-11-23,2021-03-03,2022-11-21,mom_5d,q25_reversion,1,-0.019149206354857673,0.01665178697178077,1.3441379247819203,0.03327385382221055,189
strangle,2023-03-16,2021-08-02,2023-03-15,vix,q25_reversion,1,6.217234601099542e-05,0.00016037993378025537,1.7948465034962964,0.02142903304701305,186
strangle,2023-06-23,2021-12-13,2023-06-21,price_vs_ma20,q75_momentum,-1,-0.027878287250559963,0.021350154949236422,1.92907792763787,0.018345966831536435,189
strangle,2023-09-15,2022-04-06,2023-09-14,reversion_z20,q75_momentum,-1,-1.082799695882992,1.221011379839275,2.6633147005372186,0.020458380084726554,189
strangle,2023-12-04,2022-06-27,2023-12-01,reversion_z20,q75_momentum,-1,-0.9907916858870425,1.2417518554170686,2.8640748215856155,0.02154266172442911,189
strangle,2024-03-12,2022-09-20,2024-03-11,overnight_gap,q75_momentum,-1,-0.0023720567527981055,0.002694082401205944,3.179262002223969,0.02943344428593403,189
